Entomoplasma	Entomoplasmataceae
Eoetvoesia	Alcaligenaceae
Epibacterium	Rhodobacteraceae
Epilithonimonas	Flavobacteriaceae
Ercella	Ruminococcaceae
Eremococcus	Aerococcaceae
Erwinia	Enterobacteriaceae
Erysipelothrix	Erysipelotrichaceae
Erythrobacter	Erythrobacteraceae
Erythromicrobium	Erythrobacteraceae
Escherichia	Enterobacteriaceae
Ethanoligenens	Ruminococcaceae
Eubacterium	Eubacteriaceae
Eudoraea	Flavobacteriaceae
Euzebya	Euzebyaceae
Euzebyella	Flavobacteriaceae
Exiguobacterium	Unclassified_Bacillales
Exilispira	Unclassified_Spirochaetales
Extensimonas	Comamonadaceae
Ezakiella	Peptoniphilaceae
Fabibacter	Flammeovirgaceae
Facklamia	Aerococcaceae
Faecalibacterium	Ruminococcaceae
Faecalicoccus	Streptococcaceae
Faecalitalea	Eubacteriaceae
Falsibacillus	Bacillaceae
Falsiporphyromonas	Porphyromonadaceae
Falsirhodobacter	Rhodobacteraceae
Falsochrobactrum	Brucellaceae
Fangia	Unclassified_Thiotrichales
Fastidiosipila	Ruminococcaceae
Faucicola	Moraxellaceae
Ferribacterium	Rhodocyclaceae
Ferrimicrobium	Acidimicrobiaceae
Ferrimonas	Ferrimonadaceae
Ferriphaselus	Rhodocyclaceae
Ferrithrix	Acidimicrobiaceae
Ferroglobus	Archaeoglobaceae
Ferroplasma	Ferroplasmaceae
Ferrovibrio	Rhodospirillaceae
Ferruginibacter	Chitinophagaceae
Fervidicella	Clostridiaceae
Fervidicoccus	Fervidicoccaceae
Fervidicola	Syntrophomonadaceae
Fervidobacterium	Fervidobacteraceae
Fibrella	Cytophagaceae
Fibrisoma	Cytophagaceae
Fibrobacter	Fibrobacteraceae
Fictibacillus	Bacillaceae
Filibacter	Planococcaceae
Filifactor	Peptostreptococcaceae
Filimonas	Chitinophagaceae
Filobacillus	Bacillaceae
Filomicrobium	Hyphomicrobiaceae
Fimbriimonas	Fimbriimonadaceae
Finegoldia	Unclassified_Clostridiales
Flagellimonas	Flavobacteriaceae
Flammeovirga	Flammeovirgaceae
Flavicella	Flavobacteriaceae
Flaviflexus	Actinomycetaceae
Flavihumibacter	Chitinophagaceae
Flavimarina	Flavobacteriaceae
Flaviramulus	Flavobacteriaceae
Flavirhabdus	Flavobacteriaceae
Flavisolibacter	Chitinophagaceae
Flavitalea	Chitinophagaceae
Flavivirga	Flavobacteriaceae
Flavobacterium	Flavobacteriaceae
Flavonifractor	Unclassified_Clostridiales
Flectobacillus	Cytophagaceae
Flexibacter	Cytophagaceae
Flexistipes	Deferribacteraceae
Flexithrix	Flammeovirgaceae
Flexivirga	Dermacoccaceae
Flindersiella	Nocardioidaceae
Fluviicola	Cryomorphaceae
Fluviimonas	Cytophagaceae
Fodinibacter	Intrasporangiaceae
Fodinibius	Unclassified_Sphingobacteriales
Fodinicola	Cryptosporangiaceae
Fodinicurvata	Rhodospirillaceae
Fontibacillus	Paenibacillaceae
Fontibacter	Cyclobacteriaceae
Fonticella	Clostridiaceae
Fontimonas	Nevskiaceae
Formivibrio	Neisseriaceae
Formosa	Flavobacteriaceae
Francisella	Francisellaceae
